customer_id,benefit_id,label,propensity,breadth_excl_target
C00001,L1.1,1,0.9601888804174624,2.0
C00001,L1.2,1,0.5887548549717619,2.0
C00001,L1.3,0,0.59403852571147,3.0
C00001,L1.4,0,0.09151282841208859,3.0
C00001,L1.5,0,0.4289176668741752,3.0
C00001,L1.6,0,0.2719402042888278,3.0
C00001,L1.8,1,0.9382935582662982,2.0
C00001,L1.10,0,0.4114200320708831,3.0
C00001,L1.11,0,0.17506731766119277,3.0
C00002,L1.1,1,0.5986396515174444,2.0
C00002,L1.2,1,0.2713284442518444,2.0
C00002,L1.3,1,0.2706800424268811,2.0
C00002,L1.4,0,0.026700724962877974,3.0
C00002,L1.5,0,0.22096915326538688,3.0
C00002,L1.6,0,0.11897971691427524,3.0
C00002,L1.8,0,0.06727233813631366,3.0
C00002,L1.10,0,0.3680468645226872,3.0
C00002,L1.11,0,0.13577459526891572,3.0
C00003,L1.1,1,0.9454569910906016,2.0
C00003,L1.2,1,0.5661551186464763,2.0
C00003,L1.3,0,0.5595526797299468,3.0
C00003,L1.4,0,0.06999822344628572,3.0
C00003,L1.5,0,0.38370025811725766,3.0
C00003,L1.6,0,0.2648429214212764,3.0
C00003,L1.8,0,0.07775317113928588,3.0
C00003,L1.10,1,0.3784548352546644,2.0
C00003,L1.11,0,0.25013981222560844,3.0
C00004,L1.1,1,0.9176335235958404,0.0
C00004,L1.2,0,0.39265344379785894,1.0
C00004,L1.3,0,0.3918710310664446,1.0
C00004,L1.4,0,0.06284003984964072,1.0
C00004,L1.5,0,0.31398060780181697,1.0
C00004,L1.6,0,0.2521131096978129,1.0
C00004,L1.8,0,0.06628963332216965,1.0
C00004,L1.10,0,0.2937194907313099,1.0
C00004,L1.11,0,0.1502632970581125,1.0
C00005,L1.1,1,0.9426885511505375,4.0
C00005,L1.2,0,0.5225815051808571,5.0
C00005,L1.3,1,0.5225042674608169,4.0
C00005,L1.4,0,0.07151691392771758,5.0
